Sample,Drought
X1,0
X2,0
X3,0
X4,0
X5,0
X6,0
X7,0
X8,0
X9,0
X10,0
X11,0
X12,0
X13,0
X14,0
X15,0
X16,0
X17,0
X18,0
X19,0
X20,0
X21,0
X22,0
X23,0
X24,0
X25,0
X26,0
X27,0
X28,0
X29,0
X30,0
X31,0
X32,0
X33,0
X34,0
X35,0
X36,0
X37,0
X38,0
X39,0
X40,0
X41,0
X42,0
X43,0
X44,0
X45,0
X46,0
X47,0
X48,0
X49,0
X50,0
X51,0
X52,0
X53,0
X54,0
X55,0
X56,0
X57,0
X58,0
X59,0
X60,0
X61,0
X62,0
X63,0
X64,0
X65,0
X66,0
X67,0
X68,0
X69,0
X70,0
X71,0
X72,0
X73,0
X74,0
X75,0
X76,0
X77,0
X78,0
X79,0
X80,0
X81,0
X82,0
X83,0
X84,0
X85,0
X86,0
X87,0
X88,0
X89,0
X90,0
X91,0
X92,0
X93,0
X94,0
X95,0
X96,0
X97,0
X98,0
X99,0
X100,0
X101,0
X102,0
X103,0
X104,0
X105,0
X106,0
X107,0
X108,0
X109,0
X110,0
X111,0
X112,0
X113,0
X114,0
X115,0
X116,0
X117,0
X118,0
X119,0
X120,0
X121,0
X122,0
X123,0
X124,0
X125,0
X126,0
X127,0
X128,0
X129,0
X130,0
X131,0
X132,0
X133,0
X134,0
X135,0
X136,0
X137,0
X138,0
X139,0
X140,0
X141,0
X142,0
X143,0
X144,0
X145,0
X146,0
X147,0
X148,0
X149,0
X150,0
X151,1
X152,1
X153,1
X154,1
X155,1
X156,1
X157,1
X158,1
X159,1
X160,1
X161,1
X162,1
X163,1
X164,1
X165,1
X166,1
X167,1
X168,1
X169,1
X170,1
X171,1
X172,1
X173,1
X174,1
X175,1
X176,1
X177,1
X178,1
X179,1
X180,1
X181,1
X182,1
X183,1
X184,1
X185,1
X186,1
X187,1
X188,1
X189,1
X190,1
X191,1
X192,1
X193,1
X194,1
X195,1
X196,1
X197,1
X198,1
X199,1
X200,1
X201,1
X202,1
X203,1
X204,1
X205,1
X206,1
X207,1
X208,1
X209,1
X210,1
X211,1
X212,1
X213,1
X214,1
X215,1
X216,1
X217,1
X218,1
X219,1
X220,1
X221,1
X222,1
X223,1
X224,1
X225,1
X226,1
X227,1
X228,1
X229,1
X230,1
X231,1
X232,1
X233,1
X234,1
X235,1
X236,1
X237,1
X238,1
X239,1
X240,1
X241,1
X242,1
X243,1
X244,1
X245,1
X246,1
X247,1
X248,1
X249,1
X250,1
X251,1
X252,1
X253,1
X254,1
X255,1
X256,1
X257,1
X258,1
X259,1
X260,1
X261,1
X262,1
X263,1
X264,1
X265,1
X266,1
X267,1
X268,1
X269,1
X270,1
X271,1
X272,1
X273,1
X274,1
X275,1
X276,1
X277,1
X278,1
X279,1
X280,1
X281,1
X282,1
X283,1
X284,1
X285,1
X286,1
X287,1
X288,1
X289,1
X290,1
X291,1
X292,1
X293,1
X294,1
X295,1
X296,1
X297,1
X298,1
X299,1
X300,1
